appId,title,developer,score,ratings,installs,genre,price
com.google.android.apps.labs.language.tailwind,Google NotebookLM,Google LLC,4.831123,127931,10000000,Productivity,0.0
ai.turbolearn,Turbo AI - Notetaker,Turbo AI,4.741555,246759,1000000,Education,0.0
com.aisense.otter,OtterAI Transcribe Voice Notes,Otter.ai,4.304663,25891,5000000,Productivity,0.0
com.codespaceapps.meetingtranscriber,Smart Noter - AI Note Taker,Deep Flow Apps,4.3333335,63321,5000000,Productivity,0.0
io.labhouse.audioapp,Summary - AI Note Taker,Labhouse Mobile,4.7106385,26743,500000,Productivity,0.0
com.yygg.note.app,"Notewise - AI Notes, PDF, Docs",Notewise,4.5953755,24496,5000000,Productivity,0.0
ai.fireflies.mobile,Fireflies: AI notetaker,Fireflies.ai,4.63,4147,100000,Productivity,0.0
ai.notes.notebook,HyNote: AI Notebook LLM Notes,Turing Intelligence,4.4,3352,100000,Productivity,0.0
notion.id,"Notion: Notes, Tasks, AI","Notion Labs, Inc.",4.67445,333472,10000000,Productivity,0.0
com.studocu.app,Studocu: AI Notes & Summaries,Studocu,4.58,21541,1000000,Education,0.0
com.ma.waveapp,Wave AI Note Taker & Recorder,Mohrer Associates,4.548148,1967,100000,Productivity,0.0
com.meetgeek.assistant,AI Transcribe. Speech to Text,MeetGeek: AI Note Taker. Transcribe Speech to Text,4.402299,914,100000,Productivity,0.0
com.sota.ainotex,NoteX: AI Notes & Meetings,SotaLabs,4.34,1725,100000,Productivity,0.0
app.coconote,Coconote - AI Note Taker,Quizlet Inc.,4.4059405,2103,100000,Education,0.0
com.hubx.noteai,Note AI: Smart Note Taker,HubX,4.3846154,7193,100000,Productivity,0.0
com.feraset.ainote,AI Note Taker - Meeting Notes,FERASET,4.287129,1585,10000,Education,0.0
com.recordpro.audiorecord,HiNoter - AI Note Taker,Nieruo Team,4.56,2006,100000,Productivity,0.0
ai.plaud.android.plaud,Plaud: AI Note Taker,PLAUD LLC,4.60452,7745,100000,Tools,0.0
evolly.app.ainote,AI Note Taker - Voice to Notes,EVOLLY HK,3.95,841,100000,Productivity,0.0
ai.meeting.app,Meeting.ai: AI Visual Notes,Meeting.ai,4.59,12017,100000,Productivity,0.0
